År;Läkemedel;Region;Kön;Ålder;Patienter/1000 invånare
2006;C02AC02 Guanfacin;Stockholm;Män;0-4;0
2006;C02AC02 Guanfacin;Stockholm;Män;5-9;0
2006;C02AC02 Guanfacin;Stockholm;Män;10-14;0
2006;C02AC02 Guanfacin;Stockholm;Män;15-19;0
2006;C02AC02 Guanfacin;Stockholm;Kvinnor;0-4;0
2006;C02AC02 Guanfacin;Stockholm;Kvinnor;5-9;0
2006;C02AC02 Guanfacin;Stockholm;Kvinnor;10-14;0
2006;C02AC02 Guanfacin;Stockholm;Kvinnor;15-19;0
2006;C02AC02 Guanfacin;Stockholm;Båda könen;0-4;0
2006;C02AC02 Guanfacin;Stockholm;Båda könen;5-9;0
2006;C02AC02 Guanfacin;Stockholm;Båda könen;10-14;0
2006;C02AC02 Guanfacin;Stockholm;Båda könen;15-19;0
2006;C02AC02 Guanfacin;Uppsala;Män;0-4;0
2006;C02AC02 Guanfacin;Uppsala;Män;5-9;0
2006;C02AC02 Guanfacin;Uppsala;Män;10-14;0
2006;C02AC02 Guanfacin;Uppsala;Män;15-19;0
2006;C02AC02 Guanfacin;Uppsala;Kvinnor;0-4;0
2006;C02AC02 Guanfacin;Uppsala;Kvinnor;5-9;0
2006;C02AC02 Guanfacin;Uppsala;Kvinnor;10-14;0
2006;C02AC02 Guanfacin;Uppsala;Kvinnor;15-19;0
2006;C02AC02 Guanfacin;Uppsala;Båda könen;0-4;0
2006;C02AC02 Guanfacin;Uppsala;Båda könen;5-9;0
2006;C02AC02 Guanfacin;Uppsala;Båda könen;10-14;0
2006;C02AC02 Guanfacin;Uppsala;Båda könen;15-19;0
2006;C02AC02 Guanfacin;Södermanland;Män;0-4;0
2006;C02AC02 Guanfacin;Södermanland;Män;5-9;0
2006;C02AC02 Guanfacin;Södermanland;Män;10-14;0
2006;C02AC02 Guanfacin;Södermanland;Män;15-19;0
2006;C02AC02 Guanfacin;Södermanland;Kvinnor;0-4;0
2006;C02AC02 Guanfacin;Södermanland;Kvinnor;5-9;0
